Latitude,Longitude,Altitude
45.7789776111111,10.2630080277778,656.427
45.7789800277778,10.26290325,656.418
45.77898175,10.26280275,656.428
45.7789837777778,10.2626989444444,656.437
45.7790045833333,10.2626361111111,656.434
45.7790536388889,10.2626639166667,656.405
45.7790968055556,10.2627357777778,656.424
45.7791071666667,10.2628326666667,656.413
45.7791076388889,10.2629359722222,656.453
45.7791064722222,10.2630379722222,656.444
45.77910475,10.2631100277778,656.429
45.77910525,10.2631294722222,656.394
45.7791339444444,10.2632021944444,656.415
45.7791975833333,10.2632088611111,656.445
45.7792289166667,10.2631439166667,656.437
45.7792322222222,10.2630449722222,656.424
45.7792339166667,10.2629427777778,656.435
45.779236,10.2628383055556,656.462
45.779265,10.2627621388889,656.454
45.7793311111111,10.2627548333333,656.432
45.7793612222222,10.2628180555556,656.434
45.7793630833333,10.2629184722222,656.451
45.7793621388889,10.2630216388889,656.45
45.7793616111111,10.2631238333333,656.452
45.7793875277778,10.2631981666667,656.451
45.7794494444444,10.2632015833333,656.446
45.7794836666667,10.2631352777778,656.455
45.7794872222222,10.2630338611111,656.444
45.7794897777778,10.2629309166667,656.434
45.7794916111111,10.2628290277778,656.438
45.7795185833333,10.2627488611111,656.417
45.7795830555556,10.2627392222222,656.463
45.7796163888889,10.2628015277778,656.426
45.7796176944444,10.2628984722222,656.409
45.7796169166667,10.2630017777778,656.432
45.7796158611111,10.2631031666667,656.455
45.7796403055556,10.2631811944444,656.435
45.7797014444444,10.2631877222222,656.431
45.7797384166667,10.2631225,656.432
45.7797426666667,10.2630235555556,656.442
45.7797440555556,10.2629194166667,656.41
45.7797456388889,10.2628180555556,656.455
45.7797699444444,10.2627351944444,656.53
45.7798348611111,10.2627226944444,656.541
45.7798698055556,10.2627805555556,656.446
45.77987175,10.2628954444444,656.396
45.7798708055556,10.26298075,656.407
45.7798708055556,10.2630821111111,656.438
45.7798926111111,10.2631630277778,656.43
45.7799542777778,10.2631726944444,656.428
45.7799934722222,10.2631129722222,656.426
45.7799976944444,10.2630118611111,656.441
45.7800001388889,10.2629108888889,656.442
45.7800006388889,10.2628102222222,656.446
45.7799998333333,10.2627791111111,656.43
45.7800025,10.2627601388889,656.42
45.7800495277778,10.2627068055556,656.447
45.7801105833333,10.2627205277778,656.41
45.7801273611111,10.2627992222222,656.385
45.7801273888889,10.2629028055556,656.401
45.7801270833333,10.2630048611111,656.476
45.7801302777778,10.2631048055556,656.542
45.780174,10.2631464722222,656.476
45.7802343055556,10.2631215277778,656.482
45.7802512777778,10.2630333333333,656.459
45.7802542777778,10.2629298333333,656.446
45.7802555833333,10.2628282777778,656.431
45.7802654444444,10.2627311111111,656.444
45.7803195277778,10.2626904444444,656.424
45.7803740277778,10.262719,656.408
45.7803825555556,10.2628081944444,656.409
45.7803828333333,10.2629102222222,656.456
45.7803811388889,10.2630128333333,656.444
45.78039775,10.2630974166667,656.489
